MeasurementMode,DateTimeLocal,DateTimeUTC,DateTimeUTCISO,Millisecond (ms),EsRoll (?),EsPitch (?),Es305 (?W/(cm? nm)),Es340 (?W/(cm? nm)),Es380 (?W/(cm? nm)),Es412 (?W/(cm? nm)),Es443 (?W/(cm? nm)),Es510 (?W/(cm? nm)),Es610 (?W/(cm? nm)),Es625 (?W/(cm? nm)),Es665 (?W/(cm? nm)),Es694 (?W/(cm? nm)),Es750 (?W/(cm? nm)),Es765 (?W/(cm? nm)),Es875 (?W/(cm? nm)),Es940 (?W/(cm? nm)),Es1020 (?W/(cm? nm)),Es1245 (?W/(cm? nm)),Es1550 (?W/(cm? nm)),Es1640 (?W/(cm? nm)),Es0 (?W/(cm? nm)),EsTemp (?C),BioShadeAngle (?),BioShadeMode,SolarAzimuthAngle (?),SolarZenithAngle (?),Es305_corr (?W/(cm? nm))
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.037",37,-0.7688549,1.747616,5.123404,56.97596,73.11964,128.3967,144.66,163.2583,139.9232,138.6045,135.3094,119.1535,113.5687,73.59526,83.49442,33.57972,63.1135,40.23051,24.8711,20.27031,2804.674,39.80277,0.590625,"Z",281.5785,66.49305,4.455013
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.109",109,-1.048466,1.747616,5.096681,56.66172,72.68402,127.553,143.7442,162.2904,139.1681,137.9076,134.6725,118.5599,113.0675,73.27935,83.17108,33.46178,62.87113,40.11395,24.80685,20.21437,2792.169,39.81015,0.590625,"Z",281.5785,66.49305,4.431777
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.170",170,-0.6989553,1.677691,5.102974,56.80806,72.9152,128.0096,144.212,162.8875,139.5827,138.4322,135.2261,118.9568,113.4631,73.55957,83.51809,33.59279,63.13274,40.25369,24.88792,20.29959,2805.506,39.81384,0.590625,"Z",281.5785,66.49305,4.437249
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.259",259,-0.6989553,1.677691,5.11395,56.87639,73.00572,128.1713,144.4443,163.128,139.8651,138.607,135.351,119.1311,113.6272,73.6426,83.57161,33.62265,63.16976,40.30185,24.91855,20.30762,2805.898,39.81699,0.590625,"Z",281.5785,66.49305,4.446793
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.298",298,-0.7688549,1.677691,5.109432,56.82525,72.92915,128.0556,144.2712,162.9216,139.6852,138.4472,135.2162,119.0148,113.4816,73.56115,83.49552,33.59354,63.11274,40.25303,24.89314,20.29118,2804.067,39.80736,0.590625,"Z",281.5785,66.49305,4.442863
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.370",370,-0.4193665,1.537848,5.116097,56.94712,73.10163,128.3436,144.7096,163.3542,140.0041,138.7815,135.4923,119.2531,113.7515,73.72065,83.63757,33.65525,63.20964,40.33387,24.94134,20.31588,2808.257,39.80472,0.590625,"Z",281.5785,66.49305,4.448659
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.432",432,-0.6290568,1.537848,5.111508,56.8532,72.97577,128.1154,144.3561,163.0106,139.7589,138.4945,135.2539,119.0476,113.5079,73.57443,83.50466,33.59502,63.11455,40.25335,24.88839,20.28765,2804.657,39.80476,0.590625,"Z",281.5785,66.49305,4.444669
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.497",497,-0.6989553,1.537848,5.10765,56.82651,72.93068,128.0526,144.3003,162.9321,139.6477,138.4347,135.1736,118.9741,113.4658,73.54579,83.45833,33.58139,63.07666,40.24185,24.88031,20.27636,2802.656,39.80688,0.590625,"Z",281.5785,66.49305,4.441314
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.563",563,-0.4193665,1.46793,5.093887,56.66103,72.69058,127.6076,143.8204,162.3895,139.2475,138.0163,134.793,118.6509,113.1623,73.3457,83.25846,33.50112,62.94181,40.15853,24.83404,20.2401,2794.92,39.7982,0.590625,"Z",281.5785,66.49305,4.429347
"3",06/02/2018 14:50:00,"2018-06-02 14:50:00","2018-06-02 14:50:00.630",630,-0.6290568,1.46793,5.107692,56.81485,72.91551,128.0329,144.2291,162.8763,139.6613,138.3785,135.1622,118.963,113.4177,73.52161,83.4446,33.5714,63.07211,40.22424,24.87559,20.27322,2803.977,39.80627,0.590625,"Z",281.5785,66.49305,4.44135
