#Wavelength,Es305,Es340,Es380,Es412,Es443,Es510,Es610,Es625,Es665,Es694,Es750,Es765,Es875,Es940,Es1020,Es1245,Es1550,Es1640,Es0
0,305,340,380,412,443,510,610,625,665,694,750,765,875,940,1020,1245,1550,1640,0
271,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039137435
271.5,0.007918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03985157
272,0.014836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040565711
272.5,0.021755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041279865
273,0.028673469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041994038
273.5,0.035591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042708243
274,0.042510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043422489
274.5,0.049428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04413679
275,0.056346939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044851157
275.5,0.063265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045565604
276,0.070277402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046280145
276.5,0.078114679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04699479
277,0.085951956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047709552
277.5,0.093789233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04842444
278,0.10162651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049139466
278.5,0.109463787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049854638
279,0.117301064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050569967
279.5,0.125138341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05128546
280,0.132975618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052001123
280.5,0.140812895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052716961
281,0.149460787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053432978
281.5,0.163630995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054149176
282,0.177801204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054865554
282.5,0.191971412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055582113
283,0.206141621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05629885
283.5,0.220311829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05701576
284,0.234482038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057732835
284.5,0.248652246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058450065
